Query,Prompt,Generated_Answer
total number of death row inmates in the us,"Question: total number of death row inmates in the us

","A. 1,"
what is the name of latest version of android,"Question: what is the name of latest version of android

",Args:
who is the sister of for king and country,"Question: who is the sister of for king and country

",
who plays skyler on lab rats elite force,"Question: who plays skyler on lab rats elite force


Document 1:
A declaration of independence or declaration of statehood or proclamation of independence is an assertion by a polity in a defined territory that it is independent and constitutes a state. Such places are usually declared from part or all of the territory of another state or failed state, or are breakaway territories from within the larger state. In 2010, the UN's International Court of Justice ruled in an advisory opinion in Kosovo that ""International law contains no prohibition on declarations of independence"", though the state from which the territory wishes to secede may regard the declaration as rebellion, which may lead to a war of independence or a constitutional settlement to resolve the crisis. List of declarations of independence See also Independence referendum List of national independence days List of sovereign states by date of formation Political history of the world Separatism Unilateral declaration of independence Explanatory notes References External links

",Question: who plays
who played all the carly's on general hospital,"Question: who played all the carly's on general hospital

",A. Who played
who is the yellow rose of texas named after,"Question: who is the yellow rose of texas named after


Document 1:
Year 397 BC was a year of the pre-Julian Roman calendar. At the time, it was known as the Year of the Tribunate of Iullus, Albinus, Medullinus, Maluginensis, Fidenas and Capitolinus (or, less frequently, year 357 Ab urbe condita). The denomination 397 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events <onlyinclude> By place Greece Called on by the Ionians to assist them against the Persian King Artaxerxes II, King Agesilaus II of Sparta launches an ambitious campaign in Asia Minor. Carthage The Carthaginians establish the town of Lilybaeum in Sicily to replace Motya. Himilco crosses to Sicily from Carthage with a fresh army, conquers the north coast, puts Dionysius I, the Tyrant of Syracuse, on the defensive and besieges Syracuse. However, the Carthaginian army again suffers from the plague. The Syracusans counterattack and completely defeat Himilco's army. Himilco has to escape back to Carthage. Births Dionysius II, son of Dionysius I, tyrant of Syracuse (d. 343 BC) References

",Document 2:
who won the nrl grand final in 2015,"Question: who won the nrl grand final in 2015


Document 1:
Year 841 (DCCCXLI) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. Events By place Europe June 25 – Battle of Fontenay: Frankish forces of Emperor Lothair I, and his nephew Pepin II of Aquitaine, are defeated by allied forces of King Louis the German, and his half-brother Charles the Bald, at Fontenoy (Eastern France), in a civil war among the three surviving sons of the former emperor Louis the Pious. A total of 40,000 men are killed, including the Frankish nobles Gerard of Auvergne and Ricwin of Nantes, fighting on the side of Charles. Summer – Vikings sail up the River Seine and devastate the city of Rouen in Normandy. They burn the Benedictine monastery of Jumièges Abbey; 68 captives are taken, and returned on payment of a ransom, by the monks of St. Denis. Ireland The town of Dyflin (meaning ""Black Pool"") or Dublin (modern Ireland) is founded by Norwegian Vikings, on the south bank of the River Liffey. The settlement is fortified with a ditch and an earth rampart, with a wooden palisade on top. The Norsemen establish a wool weaving industry, and there is also a slave trade. An artificial hill is erected, where the nobility meets to make laws and discuss policy. Byzantine Empire Constantine Kontomytes, Byzantine general (strategos) of the Thracesian Theme, inflicts a severe defeat on the Cretan Saracens. He leads a Byzantine expeditionary force, to raid the monastic community near Mount Latros (modern Turkey). Venice sends a fleet of 60 galleys (each carrying 200 men) to assist the Byzantines in driving the Arabs from Crotone, but the attack fails. Muslim troops conquer the city of Brindisi (approximate date). Abbasid Caliphate A pro-Umayyad rebellion, led by al-Mubarqa in Palestine, breaks out against caliph al-Mu'tasim of the Abbasid Caliphate (ending in 842). Asia In the Chinese capital of Chang'an, the West Market (and East Market) are closed every night one hour and three quarters before dusk (by government order); the curfew signals by the sound of 300 beats to a loud gong. After the official markets have been closed for the night, small night markets in residential areas thrive with plenty of customers, despite government efforts to shut them down. With the decline of the government's authority (by mid 9th century), this edict (like many others) is largely ignored, as urban dwellers keep attending the night markets regardless. Births Bernard Plantapilosa, Frankish nobleman (d. 886) Boso of Provence, Frankish nobleman (approximate date) Du Rangneng, chancellor of the Tang Dynasty (d. 893) Edmund the Martyr, king of East Anglia (approximate date) Gyeongmun, king of Silla (Korea) (d. 875) Heiric of Auxerre, Frankish theologian and writer (d. 876) Pei Shu, chancellor of the Tang Dynasty (d. 905) Remigius of Auxerre, Frankish scholar (approximate date) Deaths June 25 – Gerard of Auvergne, Frankish nobleman June 25 – Ricwin of Nantes, Frankish nobleman October 14 – Shi Yuanzhong, Chinese governor Arnulf of Sens, illegitimate son of Louis the Pious Guifeng Zongmi, Chinese Buddhist monk (b. 780) Jang Bogo, Korean maritime hegemon (or 846) Jonas of Orléans, Frankish bishop Khaydhar ibn Kawus al-Afshin, Muslim general Langdarma, emperor of Tibet (b. 799) Li Ao, Chinese philosopher and prose writer (b. 772) Yunyan Tansheng, Chinese Buddhist monk (b. 780) References Sources

",Topic: History
when was the wheel first used in egypt,"Question: when was the wheel first used in egypt

",A. 3000 BC
when does season 14 of grey's anatomy come out,"Question: when does season 14 of grey's anatomy come out


Document 1:
Winchester Township is a township in Norman County, Minnesota, United States. The population was 74 at the 2000 census. Winchester Township was organized in 1854, and named after Winchester, Iowa. Geography According to the United States Census Bureau, the township has a total area of 36.0 square miles (93.1 km), all land. Demographics As of the census of 2000, there were 74 people, 28 households, and 21 families residing in the township. The population density was 2.1 people per square mile (0.8/km). There were 31 housing units at an average density of 0.9/sq mi (0.3/km). The racial makeup of the township was 91.89% White, 4.05% African American, and 4.05% from two or more races. Hispanic or Latino of any race were 2.70% of the population. There were 28 households, out of which 32.1% had children under the age of 18 living with them, 60.7% were married couples living together, 10.7% had a female householder with no husband present, and 25.0% were non-families. 21.4% of all households were made up of individuals, and 10.7% had someone living alone who was 65 years of age or older. The average household size was 2.64 and the average family size was 3.10. In the township the population was spread out, with 27.0% under the age of 18, 12.2% from 18 to 24, 24.3% from 25 to 44, 27.0% from 45 to 64, and 9.5% who were 65 years of age or older. The median age was 35 years. For every 100 females, there were 131.3 males. For every 100 females age 18 and over, there were 134.8 males. The median income for a household in the township was $18,750, and the median income for a family was $23,750. Males had a median income of $13,438 versus $16,875 for females. The per capita income for the township was $9,306. There were 25.0% of families and 27.0% of the population living below the poverty line, including no under eighteens and 20.0% of those over 64. References Townships in Norman County, Minnesota Townships in Minnesota

",Question: What is
who sings the original version of feeling good,"Question: who sings the original version of feeling good


Document 1:
Green is a city in Clay County, Kansas, United States. As of the 2010 census, the city population was 128. History Green was incorporated in 1908. It is named in honor of the fourth Governor of Kansas, Nehemiah Green, who offered to donate a church bell to the town in exchange for the naming rights. A post office was opened in Powellsburgh (an extinct town) in 1872, but it was moved to Green in 1881. Green was a shipping point on the Union Pacific Railroad. Geography Green is located at (39.430247, -96.999195). According to the United States Census Bureau, the city has a total area of , all of it land. Demographics 2010 census As of the census of 2010, there were 128 people, 54 households, and 34 families residing in the city. The population density was . There were 68 housing units at an average density of . The racial makeup of the city was 97.7% White, 1.6% Native American, and 0.8% from two or more races. Hispanic or Latino of any race were 2.3% of the population. There were 54 households, of which 31.5% had children under the age of 18 living with them, 48.1% were married couples living together, 7.4% had a female householder with no husband present, 7.4% had a male householder with no wife present, and 37.0% were non-families. 31.5% of all households were made up of individuals, and 16.7% had someone living alone who was 65 years of age or older. The average household size was 2.37 and the average family size was 3.03. The median age in the city was 36.6 years. 28.1% of residents were under the age of 18; 3% were between the ages of 18 and 24; 29% were from 25 to 44; 27.3% were from 45 to 64; and 12.5% were 65 years of age or older. The gender makeup of the city was 50.0% male and 50.0% female. 2000 census As of the census of 2000, there were 147 people, 58 households, and 41 families residing in the city. The population density was 752.8 people per square mile (283.8/km2). There were 71 housing units at an average density of 363.6 per square mile (137.1/km2). The racial makeup of the city was 96.60% White, 0.68% African American and 2.72% Native American. Hispanic or Latino of any race were 1.36% of the population. There were 58 households, out of which 41.4% had children under the age of 18 living with them, 50.0% were married couples living together, 13.8% had a female householder with no husband present, and 29.3% were non-families. 24.1% of all households were made up of individuals, and 10.3% had someone living alone who was 65 years of age or older. The average household size was 2.53 and the average family size was 3.05. In the city, the population was spread out, with 34.0% under the age of 18, 8.2% from 18 to 24, 29.3% from 25 to 44, 19.0% from 45 to 64, and 9.5% who were 65 years of age or older. The median age was 30 years. For every 100 females, there were 96.0 males. For every 100 females age 18 and over, there were 98.0 males. The median income for a household in the city was $27,083, and the median income for a family was $29,167. Males had a median income of $21,750 versus $27,500 for females. The per capita income for the city was $11,171. There were 5.3% of families and 4.4% of the population living below the poverty line, including 5.6% of under eighteens and none of those over 64. Education The community is served by Clay County USD 379 public school district. References Further reading External links Green - Directory of Public Officials Green City Map, KDOT Clay County Mural Map Cities in Kansas Cities in Clay County, Kansas

",pic: <soc
who is the chief law officer of the government of india,"Question: who is the chief law officer of the government of india

",A. Attorney General
what day of the year is mothers day always celebrated,"Question: what day of the year is mothers day always celebrated

",Returns:
what is the name of the college in animal house,"Question: what is the name of the college in animal house

",
who heads the u.s. intelligence community science forum,"Question: who heads the u.s. intelligence community science forum

",
who has more la liga titles real madrid or barcelona,"Question: who has more la liga titles real madrid or barcelona


Document 1:
There are fourteen counties in the U.S. state of Vermont. These counties together contain 255 political units, or places, including 237 towns, 9 cities, 5 unincorporated areas, and 4 gores. Each county has a county seat, often referred to as a ""shire town."" In 1779, Vermont had two counties. The western side of the state was called Bennington County and the eastern was called Cumberland County. In 1781, Cumberland County was separated into three counties in Vermont plus another county named Washington (not the same as the modern Washington County) that eventually became part of New Hampshire. Today's Washington County was known as Jefferson County from its creation in 1810 until it was renamed in 1814. Essex County, Orleans County, and Caledonia County are commonly referred to as the Northeast Kingdom. The FIPS county code is the five-digit Federal Information Processing Standard (FIPS) code which uniquely identifies counties and county equivalents in the United States. The three-digit number is unique to each individual county within a state, but to be unique within the entire United States, it must be prefixed by the state code. This means that, for example, while Addison County, Vermont is 001, Belknap County, New Hampshire and Alachua County, Florida are also 001. To uniquely identify Addison County, Vermont, one must use the state code of 50 plus the county code of 001; therefore, the unique nationwide identifier for Addison County, Vermont is 50001. The links in the column FIPS County Code are to the Census Bureau Info page for that county. List |} See also List of cities in Vermont List of gores in Vermont List of towns in Vermont List of former United States counties Notes There are several sources that state the formation year for Windham County is 1781 and that Cumberland County was dissolved rather than renamed. References Vermont, counties in Counties

",Document 2:
who sings i just died in your arms,"Question: who sings i just died in your arms

",
when does the third maze runner come out,"Question: when does the third maze runner come out

",Returns:
